species_folder,scientific_name,common_name
chaetodon_collare,Chaetodon collare,Red-tailed Butterflyfish
chaetodon_decussatus,Chaetodon decussatus,Indian Vagabond Butterflyfish
chaetodon_falcula,Chaetodon falcula,Saddleback Butterflyfish
chaetodon_guttatissimus,Chaetodon guttatissimus,Spotted Butterflyfish
chaetodon_lunula,Chaetodon lunula,Raccoon Butterflyfish
chaetodon_melannotus,Chaetodon melannotus,Blackback Butterflyfish
chaetodon_meyeri,Chaetodon meyeri,Meyer's Butterflyfish
chaetodon_octofasciatus,Chaetodon octofasciatus,Eightband Butterflyfish
chaetodon_triangulum,Chaetodon triangulum,Triangular Butterflyfish
chaetodon_trifascialis,Chaetodon trifascialis,Chevron Butterflyfish
chaetodon_trifasciatus,Chaetodon trifasciatus,Indian Redfin Butterflyfish
chaetodon_vagabundus,Chaetodon vagabundus,Vagabond Butterflyfish
chaetodon_xanthocephalus,Chaetodon xanthocephalus,Yellowhead Butterflyfish
chanos_chanos,Chanos chanos,Milkfish
cheilinus_trilobatus,Cheilinus trilobatus,Tripletail Maori Wrasse
cheilinus_undulatus,Cheilinus undulatus,Napoleon Wrasse
cheilio_inermis,Cheilio inermis,Cigar Wrasse
cheilodipterus_quinquelineatus,Cheilodipterus quinquelineatus,Fiveline Cardinalfish
chelonodon_kappa,Chelonodon kappa,Milkspot Toadfish
chelonodon_patoca,Chelonodon patoca,Bengal Reticulated Puffer
chirocentrus_dorab,Chirocentrus dorab,Dorab Wolf Herring
chlorurus_capistratoides,Chlorurus capistratoides,Pink-margined Parrotfish
chlorurus_sordidus,Chlorurus sordidus,Indian Bullethead Parrotfish
chlorurus_strongylocephalus,Chlorurus strongylocephalus,Roundhead Parrotfish
chromis,Chromis,Chromis
chromis_atripectoralis,Chromis atripectoralis,Black-axil Chromis
chromis_ternatensis,Chromis ternatensis,Ternate Chromis
chromis_viridis,Chromis viridis,Blue-green Chromis
chrysiptera_brownriggii,Chrysiptera brownriggii,Indian Surge Demoiselle
chrysiptera_glauca,Chrysiptera glauca,Grey Demoiselle
chrysiptera_unimaculata,Chrysiptera unimaculata,Onespot Demoiselle
cirrhilabrus_exquisitus,Cirrhilabrus exquisitus,Exquisite Wrasse
cirrhitichthys_oxycephalus,Cirrhitichthys oxycephalus,Pixy Hawkfish
cirrhitus_pinnulatus,Cirrhitus pinnulatus,Stocky Hawkfish
congrogadus_subducens,Congrogadus subducens,Carpet Eel Blenny
coris_cuvieri,Coris cuvieri,African Coris
coris_formosa,Coris formosa,Queen Coris
coryphaena_hippurus,Coryphaena hippurus,Common Dolphinfish
corythoichthys_flavofasciatus,Corythoichthys flavofasciatus,Network Pipefish
corythoichthys_haematopterus,Corythoichthys haematopterus,Reeftop Pipefish
cryptocentrus_maudae,Cryptocentrus maudae,Maude's Shrimpgoby
ctenochaetus_striatus,Ctenochaetus striatus,Lined Bristletooth
cyclichthys_orbicularis,Cyclichthys orbicularis,Shortspine Porcupinefish
cyprinocirrhites_polyactis,Cyprinocirrhites polyactis,Lyretail Hawkfish
dactyloptena_orientalis,Dactyloptena orientalis,Oriental Flying Gurnard
dagetichthys_commersonnii,Dagetichthys commersonnii,Commerson's Sole
dascyllus_abudafur,Dascyllus abudafur,Indian Ocean Humbug
dascyllus_carneus,Dascyllus carneus,Indian Dascyllus
dascyllus_trimaculatus,Dascyllus trimaculatus,Three-spot Dascyllus
datnioides,Datnioides,Unknown
dendrochirus_zebra,Dendrochirus zebra,Zebra Lionfish
deveximentum,Deveximentum,Pugnose Ponyfishes
diagramma_pictum,Diagramma pictum,Painted Sweetlips
dichotomyctere_fluviatilis,Dichotomyctere fluviatilis,Ceylon Green Puffer
diodon,Diodon,Unknown
diodon_holocanthus,Diodon holocanthus,Longspined Porcupinefish
diodon_hystrix,Diodon hystrix,Spotted Porcupinefish
diodon_liturosus,Diodon liturosus,Blackblotched Porcupinefish
diploprion_bifasciatus,Diploprion bifasciatus,Barred Soapfish
drepane_punctata,Drepane punctata,Spotted Sicklefish
echeneis_naucrates,Echeneis naucrates,Sharksucker
echidna_nebulosa,Echidna nebulosa,Snowflake Moray
ecsenius_lineatus,Ecsenius lineatus,Lined Combtooth Blenny
ecsenius_minutus,Ecsenius minutus,Little Combtooth Blenny
elagatis_bipinnulata,Elagatis bipinnulata,Rainbow Runner
eleotris_fusca,Eleotris fusca,Brown Spine-cheek Gudgeon
eleutheronema_tetradactylum,Eleutheronema tetradactylum,Fourfinger Threadfin
ellochelon_vaigiensis,Ellochelon vaigiensis,Squaretail Mullet
entomacrodus_striatus,Entomacrodus striatus,Blackspotted Rockskipper
entomacrodus_vermiculatus,Entomacrodus vermiculatus,Vermiculated Rockskipper
epibulus_insidiator,Epibulus insidiator,Slingjaw Wrasse
epinephelus_areolatus,Epinephelus areolatus,Areolate Grouper
epinephelus_bleekeri,Epinephelus bleekeri,Duskytail Grouper
epinephelus_coeruleopunctatus,Epinephelus coeruleopunctatus,Whitespotted Grouper
epinephelus_coioides,Epinephelus coioides,Goldspotted Rockcod
epinephelus_erythrurus,Epinephelus erythrurus,Cloudy Grouper
epinephelus_fasciatus,Epinephelus fasciatus,Blacktip Grouper
epinephelus_flavocaeruleus,Epinephelus flavocaeruleus,Blue-and-yellow Grouper
epinephelus_lanceolatus,Epinephelus lanceolatus,Giant Grouper
epinephelus_longispinis,Epinephelus longispinis,Longspine Grouper
epinephelus_macrospilos,Epinephelus macrospilos,Snubnose Grouper
epinephelus_malabaricus,Epinephelus malabaricus,Malabar Grouper
epinephelus_merra,Epinephelus merra,Honeycomb Grouper
epinephelus_polyphekadion,Epinephelus polyphekadion,Camouflage Grouper
epinephelus_spilotoceps,Epinephelus spilotoceps,Foursaddle Grouper
eurypegasus_draconis,Eurypegasus draconis,Dragon Seamoth
euthynnus_affinis,Euthynnus affinis,Mackerel Tuna
eviota_sebreei,Eviota sebreei,Striped Eviota
eviota_teresae,Eviota teresae,Terry's Pygmygoby
favonigobius_reichei,Favonigobius reichei,Indopacific Tropical Sand Goby
fistularia_commersonii,Fistularia commersonii,Blue-spotted Cornetfish
forcipiger_flavissimus,Forcipiger flavissimus,Forceps Butterflyfish
forcipiger_longirostris,Forcipiger longirostris,Longnose Butterflyfish
gazza_minuta,Gazza minuta,Toothed Ponyfish
gerres_filamentosus,Gerres filamentosus,Threadfin Silverbiddy
gerres_subfasciatus,Gerres subfasciatus,Common Silverbiddy
glossogobius_giuris,Glossogobius giuris,Tank Goby
gnathanodon_speciosus,Gnathanodon speciosus,Golden Trevally
gnathodentex_aureolineatus,Gnathodentex aureolineatus,Striped Large-eye Bream
gobiodon_citrinus,Gobiodon citrinus,Lemon Coralgoby
gomphosus_caeruleus,Gomphosus caeruleus,Green Bird Wrasse
grammistes_sexlineatus,Grammistes sexlineatus,Lined Soapfish
gymnomuraena_zebra,Gymnomuraena zebra,Zebra Moray
