species_folder,scientific_name,common_name
selaroides_leptolepis,Selaroides leptolepis,Yellowstripe Scad
siganus_canaliculatus,Siganus canaliculatus,White-spotted Rabbitfish
siganus_javus,Siganus javus,Java Rabbitfish
siganus_spinus,Siganus spinus,Scribbled Rabbitfish
siganus_vermiculatus,Siganus vermiculatus,Maze Rabbitfish
sillago_sihama,Sillago sihama,Northern Whiting
soleichthys_heterorhinos,Soleichthys heterorhinos,Tiger Sole
solenostomus_cyanopterus,Solenostomus cyanopterus,Robust Ghostpipefish
sphyraena_barracuda,Sphyraena barracuda,Great Barracuda
sphyraena_jello,Sphyraena jello,Pickhandle Barracuda
sphyraena_obtusata,Sphyraena obtusata,Striped Barracuda
sphyraena_putnamae,Sphyraena putnamae,Military Barracuda
sphyraena_qenie,Sphyraena qenie,Blackfin Barracuda
stegastes_lacrymatus,Stegastes lacrymatus,Jewel Damsel
stegastes_nigricans,Stegastes nigricans,Dusky Gregory
stegastes_punctatus,Stegastes punctatus,Bluntsnout Gregory
stephanolepis_hispida,Stephanolepis hispida,Planehead Filefish
stethojulis_albovittata,Stethojulis albovittata,Whiteline Wrasse
stethojulis_interrupta,Stethojulis interrupta,Cutribbon Wrasse
stethojulis_strigiventer,Stethojulis strigiventer,Three-line Wrasse
stigmatogobius_sadanundio,Stigmatogobius sadanundio,Grey Knight Goby
strongylura_leiurus,Strongylura leiurus,Hornpike Longtom
strongylura_strongylura,Strongylura strongylura,Blackspot Longtom
strophidon_sathete,Strophidon sathete,Gangetic Moray
sufflamen_bursa,Sufflamen bursa,Lei Triggerfish
sufflamen_chrysopterum,Sufflamen chrysopterum,Flagtail Triggerfish
sufflamen_fraenatum,Sufflamen fraenatum,Bridled Triggerfish
synanceia_verrucosa,Synanceia verrucosa,Reef Stonefish
syngnathoides_biaculeatus,Syngnathoides biaculeatus,Double-end Pipehorse
synodus_dermatogenys,Synodus dermatogenys,Bluestripe Lizardfish
synodus_variegatus,Synodus variegatus,Variegated Lizardfish
taenianotus_triacanthus,Taenianotus triacanthus,Leaf Scorpionfish
takifugu_oblongus,Takifugu oblongus,Oblong Blowfish
terapon_jarbua,Terapon jarbua,Crescent Grunter
terapon_puta,Terapon puta,Spinycheek Grunter
terapon_theraps,Terapon theraps,Largescale Grunter
tetrosomus_gibbosus,Tetrosomus gibbosus,Humpback Turretfish
thalassoma_amblycephalum,Thalassoma amblycephalum,Blue-headed Wrasse
thalassoma_hardwicke,Thalassoma hardwicke,Sixbar Wrasse
thalassoma_jansenii,Thalassoma jansenii,Jansen's Wrasse
thalassoma_lunare,Thalassoma lunare,Moon Wrasse
thunnus_albacares,Thunnus albacares,Yellowfin Tuna
thunnus_tonggol,Thunnus tonggol,Longtail Tuna
toxotes_chatareus,Toxotes chatareus,Spotted Archerfish
toxotes_jaculatrix,Toxotes jaculatrix,Banded Archerfish
trachinocephalus_trachinus,Trachinocephalus trachinus,Painted Grinner
trachinotus_baillonii,Trachinotus baillonii,Smallspotted Dart
trachinotus_blochii,Trachinotus blochii,Snubnose Dart
trachurus_novaezelandiae,Trachurus novaezelandiae,Yellowtail Scad
trachyrhamphus_bicoarctatus,Trachyrhamphus bicoarctatus,Bentstick Pipefish
triacanthus_biaculeatus,Triacanthus biaculeatus,Shortnose Tripodfish
trichiurus_lepturus,Trichiurus lepturus,Largehead Hairtail
trichogaster_fasciata,Trichogaster fasciata,Banded Gourami
trichopodus_trichopterus,Trichopodus trichopterus,Three Spot Gourami
trichopsis_vittata,Trichopsis vittata,Croaking Gourami
turrum_coeruleopinnatum,Turrum coeruleopinnatum,Coastal Trevally
turrum_fulvoguttatum,Turrum fulvoguttatum,Yellow Spotted Trevally
tylosurus_crocodilus,Tylosurus crocodilus,Houndfish
upeneus,Upeneus,Unknown
upeneus_tragula,Upeneus tragula,Freckled Goatfish
uraspis_uraspis,Uraspis uraspis,Whitemouth Trevally
valenciennea_puellaris,Valenciennea puellaris,Orange-dashed Goby
valenciennea_sexguttata,Valenciennea sexguttata,Sixspot Glidergoby
valenciennea_strigata,Valenciennea strigata,Bluestreak Goby
variola_louti,Variola louti,Yellow-edged Lyretail
verulux_cypselurus,Verulux cypselurus,Schooling Cardinalfish
xenentodon_cancila,Xenentodon cancila,Freshwater Garfish
xiphias_gladius,Xiphias gladius,Broadbill Swordfish
yarica_hyalosoma,Yarica hyalosoma,Mangrove Cardinalfish
yongeichthys_nebulosus,Yongeichthys nebulosus,Hairfin Goby
zanclus_cornutus,Zanclus cornutus,Moorish Idol
zebrasoma_desjardinii,Zebrasoma desjardinii,Indian Sailfin Tang
zebrasoma_scopas,Zebrasoma scopas,Brown Tang
zebrias,Zebrias,Unknown
zenarchopterus_buffonis,Zenarchopterus buffonis,Northern River Garfish
